Entity,Code,Year,wat_sm_number_without
Afghanistan,AFG,2000,18509220.75674613
Afghanistan,AFG,2001,19243448.24823686
Afghanistan,AFG,2002,19950748.536897935
Afghanistan,AFG,2003,20717891.774322566
Afghanistan,AFG,2004,21436557.289210718
Afghanistan,AFG,2005,22035154.649446044
Afghanistan,AFG,2006,22492140.05239734
Afghanistan,AFG,2007,22739014.622680135
Afghanistan,AFG,2008,22920117.071656127
Afghanistan,AFG,2009,23208845.93701614
Afghanistan,AFG,2010,23606658.54971199
Afghanistan,AFG,2011,24103904.62853818
Afghanistan,AFG,2012,24673943.869979396
Afghanistan,AFG,2013,25276442.626644067
Afghanistan,AFG,2014,25854552.422479466
Afghanistan,AFG,2015,26369007.229259674
Afghanistan,AFG,2016,26810000.105707377
Afghanistan,AFG,2017,27191632.4593636
Afghanistan,AFG,2018,27529334.994350437
Afghanistan,AFG,2019,27846963.93373835
Afghanistan,AFG,2020,28188417.196583916
Albania,ALB,2000,1591587.1115863582
Albania,ALB,2001,1593606.199942277
Albania,ALB,2002,1594829.6562955733
Albania,ALB,2003,1593760.5750321297
Albania,ALB,2004,1530163.3833278166
Albania,ALB,2005,1463816.7543812967
Albania,ALB,2006,1394682.867836465
Albania,ALB,2007,1323311.1684509604
Albania,ALB,2008,1251263.700245282
Albania,ALB,2009,1180271.4690615474
Albania,ALB,2010,1111388.4051614103
Albania,ALB,2011,1044708.1045518683
Albania,ALB,2012,979692.5821241619
Albania,ALB,2013,915859.6433017936
Albania,ALB,2014,852578.3328425318
Albania,ALB,2015,850046.116722438
Albania,ALB,2016,848133.0449093682
Albania,ALB,2017,846880.1946584171
Albania,ALB,2018,845986.1768012189
Albania,ALB,2019,845091.2608635414
Albania,ALB,2020,843928.1773600568
Algeria,DZA,2000,9288298.024935903
Algeria,DZA,2001,9233478.295596138
Algeria,DZA,2002,9176866.654377904
Algeria,DZA,2003,9122056.71130363
Algeria,DZA,2004,9072872.346125003
Algeria,DZA,2005,9032254.912307851
Algeria,DZA,2006,9000871.325438803
Algeria,DZA,2007,8978835.898990953
Algeria,DZA,2008,8966462.915387506
Algeria,DZA,2009,8965022.49005982
Algeria,DZA,2010,8973924.055759855
Algeria,DZA,2011,8993079.581285626
Algeria,DZA,2012,9021622.120029947
Algeria,DZA,2013,9058227.335618358
Algeria,DZA,2014,9352665.703095092
Algeria,DZA,2015,9719709.664644444
Algeria,DZA,2016,10110059.205425749
Algeria,DZA,2017,10523212.291692244
Algeria,DZA,2018,11030132.286592007
Algeria,DZA,2019,11564159.900461884
Algeria,DZA,2020,12111019.553277316
American Samoa,ASM,2000,12817.175308526734
American Samoa,ASM,2001,12263.908444604045
American Samoa,ASM,2002,11673.651063447196
American Samoa,ASM,2003,11038.076398517958
American Samoa,ASM,2004,10351.618075486796
American Samoa,ASM,2005,9608.535427601188
American Samoa,ASM,2006,8819.566439900284
American Samoa,ASM,2007,8000.11178940999
American Samoa,ASM,2008,7180.781887518204
American Samoa,ASM,2009,6388.755423385616
American Samoa,ASM,2010,5638.09756248408
American Samoa,ASM,2011,4923.99965225399
American Samoa,ASM,2012,4235.43275952039
American Samoa,ASM,2013,3556.526881616009
American Samoa,ASM,2014,2876.7856914390377
American Samoa,ASM,2015,2191.9095635946433
American Samoa,ASM,2016,1503.45208420761
American Samoa,ASM,2017,911.0216028862601
American Samoa,ASM,2018,908.466247022905
American Samoa,ASM,2019,906.0256148178757
American Samoa,ASM,2020,904.1418561713214
Andorra,AND,2000,6120.503511330005
Andorra,AND,2001,6303.398996673608
Andorra,AND,2002,6556.491178384062
Andorra,AND,2003,6849.651483112019
Andorra,AND,2004,7136.996972875004
Andorra,AND,2005,7382.3284007759685
Andorra,AND,2006,7581.131390753473
Andorra,AND,2007,7739.0377222707775
Andorra,AND,2008,7849.293465821987
Andorra,AND,2009,7905.548601841815
Andorra,AND,2010,7904.892891460946
Andorra,AND,2011,7838.814628168821
Andorra,AND,2012,7715.164786069441
Andorra,AND,2013,7560.075142459854
Andorra,AND,2014,7414.335696962328
Andorra,AND,2015,7300.146177636515
Andorra,AND,2016,7234.815283798424
Andorra,AND,2017,7206.920216806424
Andorra,AND,2018,7207.948239838369
Andorra,AND,2019,7220.863356086279
Andorra,AND,2020,7232.001346800024
Armenia,ARM,2000,617479.3713197872
Armenia,ARM,2001,610048.5092187383
Armenia,ARM,2002,602875.0127977966
Armenia,ARM,2003,595788.2526356162
Armenia,ARM,2004,588492.0847143786
Armenia,ARM,2005,580788.7978712658
Armenia,ARM,2006,572438.1382205875
Armenia,ARM,2007,563606.6702556113
Armenia,ARM,2008,554954.984703478
Armenia,ARM,2009,547390.7570917156
Armenia,ARM,2010,541505.6045480071
Armenia,ARM,2011,523658.6839446124
Armenia,ARM,2012,507249.1593012809
Armenia,ARM,2013,491632.65177853237
Armenia,ARM,2014,476508.15458156285
Armenia,ARM,2015,464314.6112578374
Armenia,ARM,2016,451588.55935366184
Armenia,ARM,2017,429258.37002798676
Armenia,ARM,2018,415517.833071068
Armenia,ARM,2019,401571.65141725115
Armenia,ARM,2020,387867.7581683224
Austria,AUT,2000,286108.51986125764
Austria,AUT,2001,270410.50143565447
Austria,AUT,2002,254850.66014281684
Austria,AUT,2003,239280.42902718726
Austria,AUT,2004,223525.6102027454
Austria,AUT,2005,207498.99309418135
Austria,AUT,2006,191200.33934714083
Austria,AUT,2007,174702.49457576923
Austria,AUT,2008,158075.56225002935
Austria,AUT,2009,141390.559360031
Austria,AUT,2010,124668.07731410256
Austria,AUT,2011,107871.95928603085
Austria,AUT,2012,92312.68504311591
Austria,AUT,2013,93036.0219068854
Austria,AUT,2014,93816.84280268494
Austria,AUT,2015,94647.58864681222
Austria,AUT,2016,95537.41728901409
Austria,AUT,2017,96472.24530497311
Austria,AUT,2018,97407.27888348058
Austria,AUT,2019,98271.58644818951
Austria,AUT,2020,99012.58321048933
Azerbaijan,AZE,2000,3424257.1315891524
Azerbaijan,AZE,2001,3311102.7266850322
Azerbaijan,AZE,2002,3195127.3665791703
Azerbaijan,AZE,2003,3075710.4961990337
Azerbaijan,AZE,2004,2952089.089146455
Azerbaijan,AZE,2005,2823762.7946562897
Azerbaijan,AZE,2006,2690440.132052405
Azerbaijan,AZE,2007,2552133.6592986286
Azerbaijan,AZE,2008,2408998.486969838
Azerbaijan,AZE,2009,2261086.529880283
Azerbaijan,AZE,2010,2107716.392296266
Azerbaijan,AZE,2011,1948616.8558048268
Azerbaijan,AZE,2012,1809668.69249425
Azerbaijan,AZE,2013,1693120.8977467464
Azerbaijan,AZE,2014,1571248.5377085614
Azerbaijan,AZE,2015,1443825.4589423419
Azerbaijan,AZE,2016,1392860.3291245117
Azerbaijan,AZE,2017,1340041.6535609602
Azerbaijan,AZE,2018,1285373.4996266586
Azerbaijan,AZE,2019,1231437.4268386345
Azerbaijan,AZE,2020,1183975.3688346106
Bahrain,BHR,2000,7749.896213654068
Bahrain,BHR,2001,8023.865681699339
Bahrain,BHR,2002,8340.178609521321
Bahrain,BHR,2003,8711.486612312568
Bahrain,BHR,2004,9152.514939946383
Bahrain,BHR,2005,9666.230061776274
Bahrain,BHR,2006,10267.848594967647
Bahrain,BHR,2007,10934.495113717901
Bahrain,BHR,2008,11668.578685209553
Bahrain,BHR,2009,12318.61733766978
Bahrain,BHR,2010,12807.174019264457
Bahrain,BHR,2011,13097.934897794412
Bahrain,BHR,2012,13225.510375405387
Bahrain,BHR,2013,13370.398383353373
Bahrain,BHR,2014,13584.360141510344
Bahrain,BHR,2015,13948.149246250323
Bahrain,BHR,2016,14496.577063620358
Bahrain,BHR,2017,15190.846930311745
Bahrain,BHR,2018,15957.090227052659
Bahrain,BHR,2019,16686.335286764082
Bahrain,BHR,2020,17300.638831821132
Bangladesh,BGD,2000,57103829.20836823
Bangladesh,BGD,2001,58187171.798825175
Bangladesh,BGD,2002,59288650.96294189
Bangladesh,BGD,2003,60362235.706026934
Bangladesh,BGD,2004,61388727.055147626
Bangladesh,BGD,2005,62355667.483482294
Bangladesh,BGD,2006,63255953.93340352
Bangladesh,BGD,2007,64097046.374838255
Bangladesh,BGD,2008,64901683.18066698
Bangladesh,BGD,2009,65702227.39156399
Bangladesh,BGD,2010,66523352.00277628
Bangladesh,BGD,2011,67372496.45963241
Bangladesh,BGD,2012,67637381.75591771
Bangladesh,BGD,2013,67876873.26866733
Bangladesh,BGD,2014,68080514.65250714
Bangladesh,BGD,2015,68238808.76792493
Bangladesh,BGD,2016,68351127.78420538
Bangladesh,BGD,2017,68418697.50843929
Bangladesh,BGD,2018,68438805.66549432
Bangladesh,BGD,2019,68408852.92938006
Bangladesh,BGD,2020,68326533.43219443
Belarus,BLR,2000,1913996.713002931
Belarus,BLR,2001,1884110.0117999483
Belarus,BLR,2002,1853601.0949943818
Belarus,BLR,2003,1823286.7749845244
Belarus,BLR,2004,1680260.7827525064
Belarus,BLR,2005,1543360.865986441
Belarus,BLR,2006,1412359.337052957
Belarus,BLR,2007,1286733.7192286218
Belarus,BLR,2008,1166035.2164523497
Belarus,BLR,2009,1049846.308057922
Belarus,BLR,2010,936885.5287018177
Belarus,BLR,2011,827828.932536161
Belarus,BLR,2012,722716.4557701786
Belarus,BLR,2013,621103.7459283323
Belarus,BLR,2014,522618.1277307953
Belarus,BLR,2015,520571.4487979913
Belarus,BLR,2016,518472.1752203088
Belarus,BLR,2017,516310.8877651717
Belarus,BLR,2018,514058.80276383564
Belarus,BLR,2019,511697.55603357375
Belarus,BLR,2020,509210.0639997428
Belgium,BEL,2000,59830.99580247618
Belgium,BEL,2001,60046.97373825907
Belgium,BEL,2002,60313.396215352026
Belgium,BEL,2003,60628.346083341225
Belgium,BEL,2004,60983.610546819145
Belgium,BEL,2005,61372.39946888893
Belgium,BEL,2006,61794.85819140384
Belgium,BEL,2007,62249.790518464586
Belgium,BEL,2008,62721.979339179015
Belgium,BEL,2009,63193.9133784552
Belgium,BEL,2010,58230.31974932868
Belgium,BEL,2011,53170.04413659464
Belgium,BEL,2012,48020.673531203785
Belgium,BEL,2013,42788.846373811524
Belgium,BEL,2014,37484.205691497
Belgium,BEL,2015,32111.410730204523
Belgium,BEL,2016,26671.577522357016
Belgium,BEL,2017,21164.485517304667
Belgium,BEL,2018,15588.344933300808
Belgium,BEL,2019,9945.546749513082
Belgium,BEL,2020,9989.272168373138
Bhutan,BTN,2000,421326.05006508896
Bhutan,BTN,2001,427048.67269140226
Bhutan,BTN,2002,432458.5407037279
Bhutan,BTN,2003,437338.3616939932
Bhutan,BTN,2004,441504.6595832197
Bhutan,BTN,2005,444918.73339526757
Bhutan,BTN,2006,448028.81444182945
Bhutan,BTN,2007,450274.03875690216
Bhutan,BTN,2008,451980.499950624
Bhutan,BTN,2009,453638.9157921445
Bhutan,BTN,2010,455563.24693001516
Bhutan,BTN,2011,457859.24578581663
Bhutan,BTN,2012,460457.75621412596
Bhutan,BTN,2013,463277.5899019271
Bhutan,BTN,2014,466185.47241996834
Bhutan,BTN,2015,469083.40480774676
Bhutan,BTN,2016,472289.69371611916
Bhutan,BTN,2017,475944.8017875368
Bhutan,BTN,2018,480348.2375821832
Bhutan,BTN,2019,484652.612003854
Bhutan,BTN,2020,488833.9646544457
Bosnia and Herzegovina,BIH,2000,474524.4993920602
Bosnia and Herzegovina,BIH,2001,470463.61976432556
Bosnia and Herzegovina,BIH,2002,466366.5254444088
Bosnia and Herzegovina,BIH,2003,462161.69430954015
Bosnia and Herzegovina,BIH,2004,457888.19769926893
Bosnia and Herzegovina,BIH,2005,453540.71724584425
Bosnia and Herzegovina,BIH,2006,449100.6821610387
Bosnia and Herzegovina,BIH,2007,444371.8678698319
Bosnia and Herzegovina,BIH,2008,438994.74656849424
Bosnia and Herzegovina,BIH,2009,432539.6570563941
Bosnia and Herzegovina,BIH,2010,424768.8372675076
Bosnia and Herzegovina,BIH,2011,415530.8232534763
Bosnia and Herzegovina,BIH,2012,407279.18955909443
Bosnia and Herzegovina,BIH,2013,396853.15059146157
Bosnia and Herzegovina,BIH,2014,389397.4620521306
Bosnia and Herzegovina,BIH,2015,383226.8371942499
Bosnia and Herzegovina,BIH,2016,378131.91985228873
Bosnia and Herzegovina,BIH,2017,373967.6783707399
Bosnia and Herzegovina,BIH,2018,370594.9462637234
Bosnia and Herzegovina,BIH,2019,367738.33899956563
Bosnia and Herzegovina,BIH,2020,365181.5878994155
Brazil,BRA,2000,41956555.23336016
Brazil,BRA,2001,41532455.390986554
Brazil,BRA,2002,41206789.864500836
Brazil,BRA,2003,41217821.3295982
Brazil,BRA,2004,41209726.82774664
Brazil,BRA,2005,41182843.339488864
Brazil,BRA,2006,41136600.16867743
Brazil,BRA,2007,41072476.16312234
Brazil,BRA,2008,40994226.37754177
Brazil,BRA,2009,40907637.6906296
Brazil,BRA,2010,40815137.05323734
Brazil,BRA,2011,40712919.00742492
Brazil,BRA,2012,40605745.21562943
Brazil,BRA,2013,39379430.772363216
Brazil,BRA,2014,38127999.79700688
Brazil,BRA,2015,36853370.29635798
Brazil,BRA,2016,35686001.42526739
Brazil,BRA,2017,34238917.84056529
Brazil,BRA,2018,32897696.168420553
Brazil,BRA,2019,31530623.02937574
Brazil,BRA,2020,30256414.672082294
Bulgaria,BGR,2000,823356.8294172505
Bulgaria,BGR,2001,775702.7655144238
Bulgaria,BGR,2002,728987.7321038006
Bulgaria,BGR,2003,683144.1349528342
Bulgaria,BGR,2004,638111.3087397997
Bulgaria,BGR,2005,593834.7532044062
Bulgaria,BGR,2006,550263.5933994056
Bulgaria,BGR,2007,507361.3497513553
Bulgaria,BGR,2008,465114.3802451042
Bulgaria,BGR,2009,423509.3162112639
Bulgaria,BGR,2010,382518.4414946689
Bulgaria,BGR,2011,342112.9154344177
