Access to improved drinking water,Access to basic drinking water,Access to limited drinking water,Access to unimproved drinking water,No access to drinking water,Access to safely managed drinking water,Access to improved sanitation,Access to basic sanitation services,Access to limited sanitation services,Access to unimproved sanitation facilities,Open defecation (no sanitation facilities),Access to safely managed sanitation,Access to basic handwashing facilities,Access to limited handwashing facilities,No handwashing facilities,Number with access to improved drinking water,Number with access to basic drinking water,Number with access to limited drinking water,Number with access to unimproved drinking water,Number with no access to drinking water,Number with access to safely managed drinking water,Number with access to improved sanitation,Number with access to basic sanitation services,Number with access to limited sanitation services,Number with access to unimproved sanitation facilities,Number practicing open defecation (no sanitation facilities),Number with access to sanitation with off-site wastewater treatment,Number with access to basic handwashing facilities,Number with access to limited handwashing facilities,Number with no handwashing facilities,Rural access,Rural access,Rural access,Rural access,Rural access,Rural access,Rural access,Rural access,Rural access,Rural access,Rural access,Rural access,Rural access,Rural access,Rural access,Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Rural access (number of people),Urban access,Urban access,Urban access,Urban access,Urban access,Urban access,Urban access,Urban access,Urban access,Urban access,Urban access,Urban access,Urban access,Urban access,Urban access,Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Urban access (number of people),Entity,Year,,,,,,,,,,,,,,,,,,,,,,,,
31.83205326,28.17141501,3.66063825,43.17830584,24.9896409,10.92753113,27.51932994,21.87080211,5.648527826,46.677563,25.80310706,,,,,6614686.989,5854007.934,760679.0554,8972433.4,5192836.641,2270736.273,5718504.936,4544743.281,1173761.655,9699577.534,5361874.559,,,,,24.83135466,21.38999673,3.441357935,45.79015971,29.37848563,8.195442146,22.45894581,19.32279761,3.136148202,46.27241825,31.26863594,,,,,4020732.23,3463502.109,557230.1211,7414415.1,4757010.87,1327018.957,3636588.036,3128777.958,507810.0783,7492503.166,5063066.998,,,,,56.54028993,52.10572465,4.434565287,33.9600396,9.499670466,20.5701547,45.37942874,30.86371867,14.51571007,48.10747922,6.513092035,,,,,2593954.759,2390505.825,203448.9343,1558018.299,435825.7703,943717.3162,2081916.9,1415965.323,665951.5765,2207074.368,298807.56,,,,,Afghanistan,2000,,,,,,,,,,,,,,,,,,,,,,,,
31.86090811,28.19936611,3.661542,43.16754155,24.97155034,10.93879204,27.54018727,21.88130402,5.658883256,46.67923414,25.78057859,,,,,6884183.927,6093034.833,791149.094,9327207.331,5395600.932,2363543.942,5950606.113,4727891.651,1222714.463,10085978.47,5570407.602,,,,,24.83135466,21.38999673,3.441357935,45.79015971,29.37848563,8.195442146,22.45894581,19.32279761,3.136148202,46.27241825,31.26863594,,,,,4175873.394,3597142.381,578731.0131,7700502.54,4940561.567,1378222.384,3776906.88,3249502.797,527404.083,7781603.657,5258426.963,,,,,56.54028993,52.10572465,4.434565287,33.9600396,9.499670466,20.5701547,45.37942874,30.86371867,14.51571007,48.10747922,6.513092035,,,,,2708310.532,2495892.452,212418.0807,1626704.303,455039.364,985321.5589,2173699.232,1478388.852,695310.3797,2304374.328,311980.6385,,,,,Afghanistan,2001,,,,,,,,,,,,,,,,,,,,,,,,
34.18585659,30.23638459,3.949472003,41.68961968,24.12452373,11.72537263,29.27291898,23.27419282,5.998726165,45.74422506,24.98285596,,,,,7726267.996,6833656.778,892611.2195,9422176.492,5452328.952,2650024.903,6615906.098,5260147.589,1355758.51,10338548.67,5646318.674,,,,,27.11837495,23.36006067,3.75831428,44.41609598,28.46552907,8.950259702,24.01581316,20.66226531,3.353547842,45.59401744,30.39016941,,,,,4764594.135,4104272.777,660321.3581,7803737.164,5001283.931,1572526.192,4219485.967,3630280.513,589205.4524,8010693.432,5339435.833,,,,,58.86664146,54.24961588,4.617025578,32.16832504,8.965033503,21.41651418,47.63157973,32.39546458,15.23611515,46.26877426,6.099646008,,,,,2961673.861,2729383.999,232289.8611,1618439.324,451045.0185,1077498.71,2396420.131,1629867.074,766553.0572,2327855.232,306882.8405,,,,,Afghanistan,2002,,,,,,,,,,,,,,,,,,,,,,,,
36.51087649,32.27372204,4.237154447,40.21093072,23.2781928,12.5121213,31.0069292,24.66743482,6.339494374,44.80708224,24.18598856,,,,,8646093.595,7642698.512,1003395.082,9522298.668,5512478.829,2962979.316,7342710.933,5841463.441,1501247.49,10610707.38,5727452.773,,,,,29.40539523,25.33012461,4.075270624,43.04203226,27.55257251,9.705077257,25.5726805,22.00173302,3.570947481,44.91561663,29.51170287,,,,,5406913.028,4657573.2,749339.8289,7914347.798,5066225.504,1784519.754,4702173.131,4045565.651,656607.4799,8258852.868,5426460.331,,,,,61.19299298,56.39350711,4.799485868,30.37661048,8.430396541,22.26287367,49.88373071,33.92721049,15.95652022,44.43006931,5.686199981,,,,,3239180.568,2985125.314,254055.2538,1607950.872,446253.3262,1178459.563,2640537.802,1795897.792,844640.0105,2351854.52,300992.4436,,,,,Afghanistan,2003,,,,,,,,,,,,,,,,,,,,,,,,
38.85347297,34.32855936,4.524913607,38.72427963,22.4222474,13.3059954,32.75597165,26.06769471,6.688276934,43.86690146,23.3771269,,,,,9607177.602,8488316.266,1118861.335,9575232.366,5544279.482,3290132.161,8099467.386,6445677.918,1653789.467,10846832.5,5780389.571,,,,,31.69241551,27.30018855,4.392226969,41.66796854,26.63961595,10.45989481,27.12954785,23.34120073,3.788347121,44.23721582,28.63323633,,,,,6073275.768,5231585.252,841690.5178,7984909.31,5104998.512,2004448.846,5198885.062,4472917.148,725967.9138,8477258.883,5487039.646,,,,,63.51934451,58.53739835,4.981946159,28.58489591,7.895759578,23.10923315,52.1358817,35.4589564,16.6769253,42.59136435,5.272753954,,,,,3533901.833,3256731.016,277170.8178,1590322.08,439280.9697,1285683.315,2900582.324,1972760.771,927821.5534,2369572.635,293349.9237,,,,,Afghanistan,2004,,,,,,,,,,,,,,,,,,,,,,,,
41.21403332,36.40150061,4.812532709,37.22883451,21.55713217,14.10727456,34.52145381,27.47541582,7.046037988,42.92173244,22.55681375,,36.96776794,34.73316915,28.299063,10573160.8,9338540.503,1234620.301,9550787.004,5530325.633,3619118.791,8856228.156,7048618.303,1807609.852,11011258.61,5786786.679,,9483812,8910542,7259919,33.9794358,29.27025249,4.709183313,40.29390481,25.72665939,11.21471237,28.68641519,24.68066843,4.005746761,43.55881501,27.75476979,,29.12944486,38.20240439,32.668152,6738116.812,5804286.497,933830.3154,7990275.03,5101592.539,2223875.711,5688511.651,4894172.695,794338.957,8637706.213,5503766.514,,5776364,7575530,6478089,65.84569603,60.68128958,5.164406449,26.79318135,7.361122615,23.95559264,54.38803269,36.99070231,17.39733037,40.75265939,4.859307927,,63.65493809,22.92144569,13.423616,3835043.994,3534254.008,300789.9852,1560512.462,428733.0953,1395243.079,3167716.505,2154445.609,1013270.895,2373552.883,283020.1638,,3707447,1335011,781830,Afghanistan,2005,,,,,,,,,,,,,,,,,,,,,,,,
43.57506831,38.47545989,5.099608422,35.73156146,20.69337023,14.90905233,36.29001934,28.8840397,7.40597964,41.97181941,21.73816125,,37.03819822,34.7019939,28.259808,11518223.34,10170240.86,1347982.482,9444944.576,5469890.677,3940918.538,9592562.074,7634935.137,1957626.937,11094435.62,5746060.9,,9790328,9172798,7469931,36.26645608,31.24031642,5.026139658,38.91984109,24.81370283,11.96952992,30.24328254,26.02013614,4.2231464,42.8804142,26.87630326,,29.12944486,38.20240439,32.668152,7390391.878,6366163.273,1024228.605,7931099.66,5056545.571,2439155.249,6162987.339,5302392.999,860594.3406,8738186.719,5476863.052,,5936009,7784900,6657128,68.17204756,62.82518082,5.346866739,25.00146679,6.826485652,24.80195213,56.64018367,38.52244822,18.11773545,38.91395443,4.4458619,,63.65493809,22.92144569,13.423616,4127831.46,3804077.583,323753.8776,1513843.941,413345.1062,1501763.288,3429574.737,2332542.14,1097032.597,2356247.921,269197.8498,,3854319,1387898,812802,Afghanistan,2006,,,,,,,,,,,,,,,,,,,,,,,,
45.93690709,40.87574634,5.061160756,34.23229073,19.83080218,16.09387809,38.06196716,30.37464076,7.6873264,41.0170634,20.92096944,,37.10932268,34.67051707,28.22016,12449151.25,11077549.2,1371602.045,9277136.659,5374255.066,4361528.347,10314999.77,8231692.571,2083307.194,11115846.89,5669696.313,,10056827,9395898,7647816,38.55347637,33.51311431,5.040362059,37.54577736,23.90074627,13.22171963,31.80014988,27.36073275,4.439417129,42.2020134,25.99783672,,29.12944486,38.20240439,32.668152,8033308.806,6983058.9,1050249.905,7823336.63,4980149.485,2754982.604,6626132.015,5701099.772,925032.2428,8793546.984,5417115.921,,6069642,7960156,6806995,70.49839908,65.36805041,5.130348675,23.20975223,6.29184869,25.64831161,58.89233466,40.40061289,18.49172177,37.07524947,4.032415873,,63.65493809,22.92144569,13.423616,4415842.44,4094490.3,321352.14,1453800.515,394105.5801,1606545.743,3688867.749,2530592.798,1158274.951,2322300.396,252580.3902,,3987185,1435741,840821,Afghanistan,2007,,,,,,,,,,,,,,,,,,,,,,,,
48.29922462,43.31114546,4.98807916,32.73115643,18.96961895,17.32239903,39.83705481,31.87385375,7.963201066,40.05746832,20.10547686,,37.18078982,34.63888485,28.180325,13389646.89,12006837.56,1382809.334,9073823.242,5258811.117,4802164.178,11043740.38,8836159.382,2207580.996,11104844.03,5573696.842,,10307363,9602689,7812228,40.84049665,35.82182899,5.018667664,36.17171364,22.98778971,14.53291829,33.35701723,28.70143991,4.655577318,41.52361259,25.11937018,,29.12944486,38.20240439,32.668152,8681646.24,7614805.707,1066840.534,7689182.245,4886616.826,3089327.157,7090849.695,6101192.892,989656.8022,8826859.237,5339736.378,,6192175,8120855,6944414,72.82475061,67.93725149,4.887499122,21.41803767,5.757211727,26.4946711,61.14448564,42.30527293,18.83921271,35.23654451,3.618969846,,63.65493809,22.92144569,13.423616,4708000.649,4392031.85,315968.7997,1384640.997,372194.2928,1712837.019,3952890.682,2734966.488,1217924.194,2277984.793,233960.4632,,4115187,1481833,867814,Afghanistan,2008,,,,,,,,,,,,,,,,,,,,,,,,
50.66202647,45.78160949,4.88041698,31.22813995,18.10983358,18.26376481,41.61530684,33.38186228,8.233444561,39.09299395,19.29169921,,37.25260335,34.60710023,28.140297,14385384.46,12999599.49,1385784.965,8867169.956,5142252.228,5185960.703,11816585.91,9478715.247,2337870.663,11100380.04,5477840.688,,10577804,9826619,7990382,43.12751694,38.16646046,4.961056473,34.79764992,22.07483315,15.47097889,34.91388457,30.0422576,4.87162697,40.84521178,24.24090365,,29.12944486,38.20240439,32.668152,9364741.879,8287494.296,1077247.581,7555988.209,4793346.085,3359380.14,7581227.489,6523398.698,1057828.791,8869160.398,5263688.283,,6325189,8295299,7093587,75.15110213,70.53278405,4.618318079,19.6263231,5.222574764,27.34103059,63.39663663,44.23642836,19.16020827,33.39783955,3.205523819,,63.65493809,22.92144569,13.423616,5020642.578,4712105.195,308537.3831,1311181.747,348906.1435,1826580.561,4235358.42,2955316.548,1280041.872,2231219.643,214152.4065,,4252614,1531320,896795,Afghanistan,2009,,,,,,,,,,,,,,,,,,,,,,,,
